   cnoso    |  bbm  |     nama      | tebus | terima | out_d | last_tebus | last_terima 
------------+-------+---------------+-------+--------+-------+------------+-------------
 4062261524 | BB-06 | DEXLITE       |  4000 |      0 |  4000 | 2026-07-06 | 
 4062323167 | BB-07 | PERTALITE     | 48000 |  16000 | 32000 | 2026-07-10 | 2026-07-11
 4062261261 | BB-07 | PERTALITE     | 32000 |  24000 |  8000 | 2026-07-06 | 2026-07-08
 4062292738 | BB-07 | PERTALITE     | 24000 |  16000 |  8000 | 2026-07-08 | 2026-07-09
 4062181552 | BB-08 | PERTAMINA DEX |  2000 |      0 |  2000 | 2026-07-01 | 
 4062261524 | BB-08 | PERTAMINA DEX |  2000 |      0 |  2000 | 2026-07-06 | 
 4023165148 | BB-01 | PREMIUM       | 64000 |      0 | 64000 | 2022-12-30 | 
 4060297050 | BB-01 | PREMIUM       | 56000 |      0 | 56000 | 2026-02-28 | 
 4018764127 | BB-01 | PREMIUM       | 48000 |      0 | 48000 | 2021-11-12 | 
 4018866985 | BB-01 | PREMIUM       | 48000 |      0 | 48000 | 2021-11-22 | 
 4019465234 | BB-01 | PREMIUM       | 48000 |      0 | 48000 | 2022-01-18 | 
 4023445216 | BB-01 | PREMIUM       | 48000 |      0 | 48000 | 2023-01-23 | 
 4023034112 | BB-01 | PREMIUM       | 40000 |      0 | 40000 | 2022-12-19 | 
 4023255598 | BB-01 | PREMIUM       | 40000 |      0 | 40000 | 2023-01-06 | 
 4023490842 | BB-01 | PREMIUM       | 40000 |      0 | 40000 | 2023-01-27 | 
 4023566475 | BB-01 | PREMIUM       | 40000 |      0 | 40000 | 2023-02-03 | 
 4023882324 | BB-01 | PREMIUM       | 40000 |      0 | 40000 | 2023-03-03 | 
 4062010741 | BB-01 | PREMIUM       | 40000 |      0 | 40000 | 2026-06-19 | 
 4022794310 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2022-11-28 | 
 4022929078 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2022-12-09 | 
 4023010102 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2022-12-16 | 
 4023057252 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2022-12-21 | 
 4023142150 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2022-12-28 | 
 4023311250 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2023-01-11 | 
 4023393704 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2023-01-18 | 
 4023409535 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2023-01-20 | 
 4023728808 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2023-02-17 | 
 4023864655 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2023-03-01 | 
 4036449241 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2025-10-13 | 
 4062051864 | BB-01 | PREMIUM       | 32000 |      0 | 32000 | 2026-06-22 | 
 4022744444 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2022-11-23 | 
 4022815445 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2022-11-30 | 
 4022871991 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2022-12-05 | 
 4022896416 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2022-12-07 | 
 4022957505 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2022-12-12 | 
 4022980113 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2022-12-14 | 
 4023288278 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2023-01-09 | 
 4023335344 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2023-01-13 | 
 4023363003 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2023-01-16 | 
 4023470693 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2023-01-25 | 
 4023519893 | BB-01 | PREMIUM       | 24000 |      0 | 24000 | 2023-01-30 | 
 4022769636 | BB-01 | PREMIUM       | 16000 |      0 | 16000 | 2022-11-25 | 
 4022846276 | BB-01 | PREMIUM       | 16000 |      0 | 16000 | 2022-12-02 | 
 4023114906 | BB-01 | PREMIUM       | 16000 |      0 | 16000 | 2022-12-26 | 
 4023837795 | BB-01 | PREMIUM       | 16000 |      0 | 16000 | 2023-02-27 | 
 4018875185 | BB-01 | PREMIUM       |  8000 |      0 |  8000 | 2021-11-23 | 
 4019014401 | BB-01 | PREMIUM       |  8000 |      0 |  8000 | 2021-12-06 | 
 4062323167 | BB-03 | SOLAR         | 48000 |   8000 | 40000 | 2026-07-10 | 2026-07-11
 4032788844 | BB-03 | SOLAR         | 48000 |  32000 | 16000 | 2025-02-03 | 2025-02-05
 4062051864 | BB-03 | SOLAR         | 40000 |  32000 |  8000 | 2026-06-22 | 2026-06-28
(50 rows)

