   cnoso    |  bbm  |      nama      | tebus | terima | out_d | last_tebus | last_terima 
------------+-------+----------------+-------+--------+-------+------------+-------------
 4036517873 | BB-06 | DEXLITE        | 16000 |   8000 |  8000 | 2025-10-17 | 2025-10-23
 4060398878 | BB-06 | DEXLITE        |  8000 |      0 |  8000 | 2026-03-06 | 
 4037494512 | BB-06 | DEXLITE        |  8000 |   4000 |  4000 | 2025-12-18 | 2025-12-20
 4060194492 | BB-06 | DEXLITE        | 16000 |  12000 |  4000 | 2026-02-20 | 2026-02-25
 4061175625 | BB-06 | DEXLITE        | 20000 |  16000 |  4000 | 2026-04-24 | 2026-04-28
 4062261524 | BB-06 | DEXLITE        |  4000 |      0 |  4000 | 2026-07-06 | 
 LO KREDIT  | BB-06 | DEXLITE        |  8000 |   4000 |  4000 | 2023-04-20 | 2026-02-22
 4062051479 | BB-07 | PERTALITE      | 48000 |      0 | 48000 | 2026-06-22 | 
 4062323167 | BB-07 | PERTALITE      | 48000 |  16000 | 32000 | 2026-07-10 | 2026-07-11
 406353785  | BB-07 | PERTALITE      | 32000 |   8000 | 24000 | 2026-05-08 | 2026-05-09
 4024309355 | BB-07 | PERTALITE      | 24000 |  16000 |  8000 | 2023-04-10 | 2023-04-12
 4024332103 | BB-07 | PERTALITE      | 24000 |  16000 |  8000 | 2023-04-12 | 2023-04-14
 4030318932 | BB-07 | PERTALITE      |  8000 |      0 |  8000 | 2024-08-09 | 
 4036449241 | BB-07 | PERTALITE      | 40000 |  32000 |  8000 | 2025-10-13 | 2025-10-15
 4061353785 | BB-07 | PERTALITE      | 32000 |  24000 |  8000 | 2026-05-06 | 2026-05-10
 4062261261 | BB-07 | PERTALITE      | 32000 |  24000 |  8000 | 2026-07-06 | 2026-07-08
 4062292738 | BB-07 | PERTALITE      | 24000 |  16000 |  8000 | 2026-07-08 | 2026-07-09
 4060546316 | BB-04 | PERTAMAX TURBO | 16000 |      0 | 16000 | 2026-03-15 | 
 4002749555 | BB-04 | PERTAMAX TURBO |  8000 |      0 |  8000 | 2016-11-29 | 
 4061071775 | BB-08 | PERTAMINA DEX  |  8000 |   4000 |  4000 | 2026-04-17 | 2026-07-07
 4062181552 | BB-08 | PERTAMINA DEX  |  2000 |      0 |  2000 | 2026-07-01 | 
 4062261524 | BB-08 | PERTAMINA DEX  |  2000 |      0 |  2000 | 2026-07-06 | 
 4023165148 | BB-01 | PREMIUM        | 64000 |      0 | 64000 | 2022-12-30 | 
 4060297050 | BB-01 | PREMIUM        | 56000 |      0 | 56000 | 2026-02-28 | 
 4018764127 | BB-01 | PREMIUM        | 48000 |      0 | 48000 | 2021-11-12 | 
 4018866985 | BB-01 | PREMIUM        | 48000 |      0 | 48000 | 2021-11-22 | 
 4019465234 | BB-01 | PREMIUM        | 48000 |      0 | 48000 | 2022-01-18 | 
 4023445216 | BB-01 | PREMIUM        | 48000 |      0 | 48000 | 2023-01-23 | 
 4023034112 | BB-01 | PREMIUM        | 40000 |      0 | 40000 | 2022-12-19 | 
 4023255598 | BB-01 | PREMIUM        | 40000 |      0 | 40000 | 2023-01-06 | 
 4023490842 | BB-01 | PREMIUM        | 40000 |      0 | 40000 | 2023-01-27 | 
 4023566475 | BB-01 | PREMIUM        | 40000 |      0 | 40000 | 2023-02-03 | 
 4023882324 | BB-01 | PREMIUM        | 40000 |      0 | 40000 | 2023-03-03 | 
 4022794310 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2022-11-28 | 
 4022929078 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2022-12-09 | 
 4023010102 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2022-12-16 | 
 4023057252 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2022-12-21 | 
 4023142150 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2022-12-28 | 
 4023311250 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2023-01-11 | 
 4023393704 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2023-01-18 | 
 4023409535 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2023-01-20 | 
 4023728808 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2023-02-17 | 
 4023864655 | BB-01 | PREMIUM        | 32000 |      0 | 32000 | 2023-03-01 | 
 4022744444 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2022-11-23 | 
 4022815445 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2022-11-30 | 
 4022871991 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2022-12-05 | 
 4022896416 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2022-12-07 | 
 4022957505 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2022-12-12 | 
 4022980113 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2022-12-14 | 
 4023288278 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2023-01-09 | 
 4023335344 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2023-01-13 | 
 4023363003 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2023-01-16 | 
 4023470693 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2023-01-25 | 
 4023519893 | BB-01 | PREMIUM        | 24000 |      0 | 24000 | 2023-01-30 | 
