bucket,customer_code,nama,debet,kredit,saldo
piutang_lokal,PLG0001,ALEX,0,0,0
piutang_lokal,PLG0002,ANTYA,0,0,0
piutang_lokal,PLG0003,ARGO ELEKTRONIK,0,0,0
piutang_lokal,PLG0004,ASENG,0,0,0
piutang_lokal,PLG0006,BINA MULIA,0,0,0
piutang_lokal,PLG0007,BPD KALBAR,0,0,0
piutang_lokal,PLG0008,BUDR,313201087,313201087,0
piutang_lokal,PLG0009,SAKTI LANGGENG,0,0,0
piutang_lokal,PLG0010,FJP,0,0,0
piutang_lokal,PLG0013,INDOSAT GA,0,0,0
piutang_lokal,PLG0014,KALINDO,0,0,0
piutang_lokal,PLG0015,KONSULAT MALAYSIA,301743692,295808860.5,5934831.5
piutang_lokal,PLG0016,KEVIN JAYA,0,0,0
piutang_lokal,PLG0017,CV LANGGENG,0,0,0
piutang_lokal,PLG0018,PD. MAS,0,0,0
piutang_lokal,PLG0020,MANDIRI BB,0,0,0
piutang_lokal,PLG0021,PD. NIKEN,0,0,0
piutang_lokal,PLG0022,PAPASARI,0,0,0
piutang_lokal,PLG0023,PAKITA JAYA,0,0,0
piutang_lokal,PLG0024,PARIT PADANG,0,0,0
piutang_lokal,PLG0025,PDAM,0,0,0
piutang_lokal,PLG0026,PUSRI,0,0,0
piutang_lokal,PLG0027,SIME DARBY,0,0,0
piutang_lokal,PLG0029,PERJASA-KB,0,0,0
piutang_lokal,PLG0030,BANK MUAMALAT-KB,0,0,0
piutang_lokal,PLG0031,DKP-KB,0,0,0
piutang_lokal,PLG0032,SETDA PROV-KB,1342259994,1146424464,195835530
piutang_lokal,PLG0033,SEKDA KOTA-KB,314000,0,314000
piutang_lokal,PLG0034,POL PP-KB,148987016,128055383,20931633
piutang_lokal,PLG0035,POLSEK KOTA-KB,523500,0,523500
piutang_lokal,PLG0036,JNE - KB,3695219052,2835584862,859634190
piutang_lokal,PLG0037,KB 302 AL,0,0,0
piutang_lokal,PLG0039,SPBU KOTA BARU,0,0,0
piutang_lokal,PLG0040,KISEL- KB,0,0,0
piutang_lokal,PLG0041,SO GOOD,0,0,0
piutang_lokal,PLG0043,MANDIRI PROMO,0,0,0
piutang_lokal,PLG0045,DJKN - KB,0,0,0
piutang_lokal,PLG0046,BPBD KOTA PTK-KB,0,0,0
piutang_lokal,PLG0047,SAMPOERNA AGRO,291443804,264050193,27393611
piutang_lokal,PLG0050,KAPUAS MEDIA G.,0,0,0
piutang_lokal,PLG0052,PLN - KB,0,0,0
piutang_lokal,PLG0053,BPKAD KOTA PTK,97707090,90882626,6824464
piutang_lokal,PLG0054,AMERTA,0,0,0
piutang_lokal,PLG0055,CITRA NIAGA,0,0,0
piutang_lokal,PLG0058,INDOSAT CM,0,0,0
piutang_lokal,PLG0059,INDOSAT TO,0,0,0
piutang_lokal,PLG0060,GKKB,0,0,0
piutang_lokal,PLG0061,BPKPD PROV,14880853,34499853,-19619000
piutang_lokal,PLG0062,BAKRIE TELECOM,0,0,0
piutang_lokal,PLG0063,-,0,0,0
piutang_lokal,PLG0064,MDU,0,0,0
piutang_lokal,PLG0065,YUSNANG,0,0,0
piutang_lokal,PLG0784,KONSULAT MAS,0,0,0
piutang_lokal,PLG1178,CITRA NIAGA-RFID,0,0,0
piutang_lokal,PLG1179,FKIP UNTAN-KB,0,0,0
piutang_lokal,PLG1247,SIME DARBY,0,0,0
piutang_lokal,PLG1278,PETRUS KIM SENG,0,0,0
piutang_lokal,PLG1312,SAMPOERNA AGRO,0,0,0
piutang_lokal,PLG1322,ARGO ELEKTRONIK,0,0,0
piutang_lokal,PLG1586,BPD KALBAR-RFID,0,0,0
piutang_lokal,PLG1647,BPD FLAMBOYAN,0,0,0
piutang_lokal,PLG1941,BAPPEDA PROP.-KB,71132797,52485644,18647153
piutang_lokal,PLG1944,DKP KB,0,0,0
piutang_lokal,PLG1946,DKP TPA,2235000,0,2235000
piutang_lokal,PLG1987,DISPORA PROP-KB,0,0,0
piutang_lokal,PLG2047,VOUCHER HISWANA,0,0,0
piutang_lokal,PLG2121,ANTYA TAXI,0,0,0
piutang_lokal,PLG2133,DK KKR,0,0,0
piutang_lokal,PLG2190,OJK,299655787,296661946,2993841
piutang_lokal,PLG2206,DHAFIN TRANSPORT,0,0,0
piutang_lokal,PLG2220,PERSADA GRAHA,0,0,0
piutang_lokal,PLG2223,CITRA SURYA ABADI,0,0,0
piutang_lokal,PLG2229,CV.SAHABAT TAXI,0,0,0
piutang_lokal,PLG2232,VOUCHER YAMAHA,0,0,0
piutang_lokal,PLG2233,DCK TRK KKR-PXP,1282928258,281712658,1001215600
piutang_lokal,PLG2234,DCK TRK KKR-DEX,1342669576,111171662,1231497914
piutang_lokal,PLG2235,DCK TRK KKR-SO,10623053693,3108129067,7514924626
piutang_lokal,PLG2238,VOUCHER PERTALITE,60000,0,60000
piutang_lokal,PLG2239,BPD FLAMBOYAN,0,0,0
piutang_lokal,PLG2241,PARAMITRA I. P.,14020000,14020000,0
piutang_lokal,PLG2243,VOUCHER PERTADEX,0,0,0
piutang_lokal,PLG2244,BOGASARI,0,0,0
piutang_lokal,PLG2245,SEMEN GRESIK,0,0,0
piutang_lokal,PLG2247,FASTRATA BUANA,1317768264,1300501584,17266680
piutang_lokal,PLG2254,SAMSAT UPPD,996835540,927017976,69817564
piutang_lokal,PLG2273,SATPOL PP PROV,465314887,449621910,15692977
piutang_lokal,PLG2279,BPSDM PROV,0,0,0
piutang_lokal,PLG2335,ISNAINI ACHMAD,0,0,0
piutang_lokal,PLG2655,PT.PERTAMINA,0,0,0
piutang_lokal,PLG2656,BIRO UMUM PROV,0,0,0
piutang_lokal,PLG2665,IMIGRASI PTK,227569452,3373539,224195913
piutang_lokal,PLG2697,PT TRIGUNA KALBAR,0,0,0
piutang_lokal,PLG2698,CV SINAR KOTA,0,0,0
piutang_lokal,PLG2699,CV SINAR KOTA,73795413,84008679,-10213266
piutang_lokal,PLG2700,EMPORIUM,9122060,9122060,0
piutang_lokal,PLG2707,SETDA KOTA,2014122381,1588903365,425219016
piutang_lokal,PLG2709,DAMRI,0,0,0
piutang_lokal,PLG2777,POLSEK SELATAN,1800000,1800000,0
piutang_lokal,PLG2778,WILMAR-POL SLTN,0,0,0
piutang_lokal,PLG2780,BKAD PROV,0,0,0
piutang_lokal,PLG2789,DISHUB KKR,92590113,85670328,6919785
piutang_lokal,PLG2793,VOUCHER SBHS,42450,0,42450
piutang_lokal,PLG2794,PUPRPRKP TPS3R,0,0,0
piutang_lokal,PLG2887,RUMAH DETENSI,629013738,603487182,25526556
piutang_lokal,PLG2906,LINTAS ABADI M.,0,0,0
piutang_lokal,PLG2907,PRIMA TERANG K.,0,0,0
piutang_lokal,PLG2934,KARYA CITRA N,1754324,1754324,0
piutang_lokal,PLG2935,KANWIL MENKUMHAM,1713000,1713000,0
piutang_lokal,PLG2936,LINGKUNGAN HIDUP,100000,100000,0
piutang_lokal,PLG2937,POLDA SAMAPTA KB,77316432,178416432,-101100000
piutang_lokal,PLG2938,DITLANTAS KB,185295925,185295925,0
piutang_lokal,PLG2939,POLRESTA KB,1629000,0,1629000
piutang_lokal,PLG2941,PENGELOLA RTH,589885642,589885642,0
piutang_lokal,PLG2942,25 TH BIMP EAGA,23528091,23528091,0
piutang_lokal,PLG2948,INDOMARET GROSIR,105862574,86945974,18916600
piutang_lokal,PLG2949,BANK SINARMAS,591603383,516953880,74649503
piutang_lokal,PLG2950,PT.INDOMARCO P,33942141,33942141,0
piutang_lokal,PLG2952,PT INDOMARCO P.,81367107879,81897850428,-530742549
piutang_lokal,PLG2954,BANK BTN,549323172,509796851,39526321
piutang_lokal,PLG2955,BCA KUBU RAYA,422067092,422067092,0
piutang_lokal,PLG2956,BUDIANTO,806195974,754972404,51223570
piutang_lokal,PLG2958,RSUD SUDARSO,479894170,429517819,50376351
piutang_lokal,PLG2959,REHOBOT,1092918613,1067982904,24935709
piutang_lokal,PLG2960,INDOMARCO P.,2818756616,2684650317,134106299
piutang_lokal,PLG2961,UPT. PSMB,70139315,65999315,4140000
piutang_lokal,PLG2962,ASSA LOGISTIK,832111321,845111341,-13000020
piutang_lokal,PLG2963,SETDA PROV JAB,71736012,46975956,24760056
piutang_lokal,PLG2964,TPS 3R KKR,76701260,27330000,49371260
piutang_lokal,PLG2966,INDOMARCO BIRU,16347400,35311700,-18964300
piutang_lokal,PLG2967,ALFAMART KANTOR,5520000,5520000,0
piutang_lokal,PLG2969,PENGELOLA RTH B,522037818,35798100,486239718
piutang_lokal,PLG2970,PT. KAN,3564899211,2445780048,1119119163
piutang_lokal,PLG2972,TIGER BORNEO X,1870151394,1854134594,16016800
piutang_lokal,PLG2973,PT.INDOGROSIR,53151000,44815500,8335500
piutang_lokal,PLG2974,BI - DEX,473709400,473709400,0
piutang_lokal,PLG2975,DISHUB KOTA KDT,6510000,1200000,5310000
piutang_online,18.999.0010,JOVIAL ONLINE,10505841,9605841,900000
hutang_lokal,PLG0011,FISIP UNTAN,0,4230895,-4230895
hutang_lokal,PLG0012,BAKRIE TELECOM,0,0,0
hutang_lokal,PLG0019,MIS. UNTAN,0,0,0
hutang_lokal,PLG0028,TRIBUN PONTIANAK,400000,0,400000
hutang_lokal,PLG0042,POL.PP.PROP.,0,354707,-354707
hutang_lokal,PLG0044,FISIP.UN.REG.B,0,11335395,-11335395
hutang_lokal,PLG0048,LPKM UNTAN,0,952942,-952942
hutang_lokal,PLG0049,EVAN,0,981673,-981673
hutang_lokal,PLG0056,LP . UNTAN,0,377250,-377250
hutang_lokal,PLG0066,RFID DEBET,0,0,0
hutang_lokal,PLG0454,RAYMUNDUS,0,16890,-16890
hutang_lokal,PLG0781,BASATU TEGUH,204479187,205755739,-1276552
hutang_lokal,PLG0782,MDU-RFID IB,395915769,398124528,-2208759
hutang_lokal,PLG0783,NIKEN-RFID IB,0,0,0
hutang_lokal,PLG1189,PERJASA-RFID IB,0,0,0
hutang_lokal,PLG1190,KAPUAS MEDIA-RFID,242976704,244440397,-1463693
hutang_lokal,PLG1194,DATA COM-RFID,58583909,58583909,0
hutang_lokal,PLG1196,CV.LANGGENG-RFID,2610831921,2613502470,-2670549
hutang_lokal,PLG1197,KISEL-RFID IB,0,0,0
hutang_lokal,PLG1201,FASTRATA BUANA,1629754,0,1629754
hutang_lokal,PLG1205,HARDIMAN NASUTION,0,0,0
hutang_lokal,PLG1222,CV.INDOMART,400554610,401937235,-1382625
hutang_lokal,PLG1223,BUDR-RFID IB,795063086,797251346,-2188260
hutang_lokal,PLG1244,CV.BINTANG LAUT,1347381110,1359986534,-12605424
hutang_lokal,PLG1279,PD.MAS-RFID IB,500000,312231,187769
hutang_lokal,PLG1296,FJP-RFID IB,462240619,465204045,-2963426
hutang_lokal,PLG1323,PLN RAYON KOTA,0,0,0
hutang_lokal,PLG1330,Sheil@rtha,0,999940,-999940
hutang_lokal,PLG1332,JAYA TRANS UTAMA,0,0,0
hutang_lokal,PLG1334,SEKDA KOTA-RFID,65200,25609267,-25544067
hutang_lokal,PLG1350,ERIC LIE,0,1060868,-1060868
hutang_lokal,PLG1351,TOKO MEGA,102603717,103576916,-973199
hutang_lokal,PLG1356,A.TRISNAWAN,0,0,0
hutang_lokal,PLG1448,PD.AM81,40784248,40784248,0
hutang_lokal,PLG1520,DOORPRIZE,0,95040,-95040
hutang_lokal,PLG1566,BPBD PROP,0,0,0
hutang_lokal,PLG1587,DAIHATSU A.I.,0,130000,-130000
hutang_lokal,PLG1616,WIGO VOUCHER,0,175000,-175000
hutang_lokal,PLG1641,GUNUNG RIJUAN,0,0,0
hutang_lokal,PLG1642,TUNGGAL ABADI,0,0,0
hutang_lokal,PLG1646,MERCURE HOTEL,46180310,47470000,-1289690
hutang_lokal,PLG1746,PERPUSTAKAAN KKR,0,500000,-500000
hutang_lokal,PLG1754,JNE SEKUNDER,0,0,0
hutang_lokal,PLG1755,JNEBANDARA,24983717,24983717,0
hutang_lokal,PLG1757,DAIHATSU-PTX,0,849728,-849728
hutang_lokal,PLG1782,ANDREAS EKO I,17209330,17254121,-44791
hutang_lokal,PLG1783,ANDREAS EKO II,4851578,4851578,0
hutang_lokal,PLG1789,BINA MANDIRI,0,0,0
hutang_lokal,PLG1823,BPMPAKB,29363558,0,29363558
hutang_lokal,PLG1911,JOSH TASANI,26312727,26206664,106063
hutang_lokal,PLG1914,DISTAMBEN PROV.,0,409615,-409615
hutang_lokal,PLG1918,DINAS PARIWISATA,0,1594385,-1594385
hutang_lokal,PLG1935,SAHABAT SUMBER,0,548136,-548136
hutang_lokal,PLG1945,TRANS PROV,0,879264,-879264
hutang_lokal,PLG1957,PT.SAI INDONESIA,6194417,6563434,-369017
hutang_lokal,PLG1958,SUPRI,0,602964,-602964
hutang_lokal,PLG1969,PT.MULTI KARET,0,0,0
hutang_lokal,PLG1971,NIAGA PERSADA,2227673313,2237885466,-10212153
hutang_lokal,PLG1979,UNTAN IP,0,1316336,-1316336
hutang_lokal,PLG1998,SWADHARMA S I,0,0,0
hutang_lokal,PLG2018,KEC.PTK TIMUR,0,0,0
hutang_lokal,PLG2025,KEC.PTK TIMUR,0,3105060,-3105060
hutang_lokal,PLG2044,SO GOOD FOOD,0,0,0
hutang_lokal,PLG2059,YONAS,518782,2176938,-1658156
hutang_lokal,PLG2064,SEKDA KOTA 1,327184,0,327184
hutang_lokal,PLG2065,SEKDA KOTA 2,0,0,0
hutang_lokal,PLG2066,SEKDA KOTA 3,0,4986440,-4986440
hutang_lokal,PLG2067,SEKDA KOTA 4,11272560,11925825.5,-653265.5
hutang_lokal,PLG2068,SEKDA KOTA 5,0,6622022.5,-6622022.5
hutang_lokal,PLG2069,SEKDA KOTA 6,0,21516390.5,-21516390.5
hutang_lokal,PLG2070,SEKDA KOTA 7,0,1687432,-1687432
hutang_lokal,PLG2071,SEKDA KOTA 8,0,0,0
hutang_lokal,PLG2072,SEKDA KOTA 9,128000,0,128000
hutang_lokal,PLG2073,SEKDA KOTA 10,0,46770000,-46770000
hutang_lokal,PLG2074,SEKDA KOTA 11,0,49196012,-49196012
hutang_lokal,PLG2075,SEKDA KOTA 12,0,576309,-576309
hutang_lokal,PLG2076,SEKDA KOTA 13,0,2337631,-2337631
hutang_lokal,PLG2077,SEKDA KOTA 14,0,231445,-231445
hutang_lokal,PLG2078,SEKDA KOTA 15,22055,0,22055
hutang_lokal,PLG2079,SEKDA KOTA 16,40334,0,40334
hutang_lokal,PLG2080,SEKDA KOTA 17,0,0,0
hutang_lokal,PLG2081,SEKDA KOTA 18,0,0,0
hutang_lokal,PLG2082,SEKDA KOTA 19,0,0,0
hutang_lokal,PLG2083,SEKDA KOTA 20,0,233480,-233480
hutang_lokal,PLG2084,SEKDA KOTA 21,0,0,0
hutang_lokal,PLG2085,SEKDA KOTA 22,0,0,0
hutang_lokal,PLG2086,SEKDA KOTA 23,2095701,22451146,-20355445
hutang_lokal,PLG2095,ADI SUYATNO-So,0,304079,-304079
hutang_lokal,PLG2099,ADI SUYATNO-Pr,0,0,0
hutang_lokal,PLG2100,LINA BUANA I,306635431,306806712,-171281
hutang_lokal,PLG2101,LINA BUANA II,297548,300000,-2452
hutang_lokal,PLG2109,ANEKA BANGUN U.,1008120243,1021154999,-13034756
hutang_lokal,PLG2110,BANJAR SERASAN,0,0,0
hutang_lokal,PLG2124,SERASI AUTORAYA I,0,0,0
hutang_lokal,PLG2127,SERASI AUTORAYA 2,0,0,0
hutang_lokal,PLG2128,SERASI AUTORAYA 3,0,82868,-82868
