customer_code,awal_piutang_lokal,akhir_piutang_lokal,awal_piutang_online,akhir_piutang_online,awal_hutang_lokal,akhir_hutang_lokal
11.999.0001,0,0,0,0,0,0
11.999.0002,0,0,0,0,0,0
11.999.0003,0,0,0,0,0,0
11.999.0004,0,0,0,0,0,0
11.999.0005,0,0,0,0,0,0
11.999.0006,0,0,0,0,0,0
12.999.0007,0,0,0,0,0,0
12.999.0008,0,0,0,0,0,0
16.999.0009,0,0,0,0,0,0
18.999.0010,0,0,900000,900000,0,0
18.999.0011,0,0,0,0,0,0
18.999.0012,0,0,0,0,0,0
18.999.0013,0,0,0,0,0,0
21.999.0014,0,0,0,0,0,0
PLG0001,0,0,0,0,0,0
PLG0002,0,0,0,0,0,0
PLG0003,0,0,0,0,0,0
PLG0004,0,0,0,0,0,0
PLG0006,0,0,0,0,0,0
PLG0007,0,0,0,0,0,0
PLG0008,0,0,0,0,0,0
PLG0009,0,0,0,0,0,0
PLG0010,0,0,0,0,0,0
PLG0011,0,0,0,0,-4230895,-4230895
PLG0012,0,0,0,0,0,0
PLG0013,0,0,0,0,0,0
PLG0014,0,0,0,0,0,0
PLG0015,5934831.5,5934831.5,0,0,0,0
PLG0016,0,0,0,0,0,0
PLG0017,0,0,0,0,0,0
PLG0018,0,0,0,0,0,0
PLG0019,0,0,0,0,0,0
PLG0020,0,0,0,0,0,0
PLG0021,0,0,0,0,0,0
PLG0022,0,0,0,0,0,0
PLG0023,0,0,0,0,0,0
PLG0024,0,0,0,0,0,0
PLG0025,0,0,0,0,0,0
PLG0026,0,0,0,0,0,0
PLG0027,0,0,0,0,0,0
PLG0028,0,0,0,0,400000,400000
PLG0029,0,0,0,0,0,0
PLG0030,0,0,0,0,0,0
PLG0031,0,0,0,0,0,0
PLG0032,195810530,195810530,0,0,0,0
PLG0033,314000,314000,0,0,0,0
PLG0034,20931633.00,20931633.00,0,0,0,0
PLG0035,523500,523500,0,0,0,0
PLG0036,858393390,858393390,0,0,0,0
PLG0037,0,0,0,0,0,0
PLG0039,0,0,0,0,0,0
PLG0040,0,0,0,0,0,0
PLG0041,0,0,0,0,0,0
PLG0042,0,0,0,0,-354707,-354707
PLG0043,0,0,0,0,0,0
PLG0044,0,0,0,0,-11335395,-11335395
PLG0045,0,0,0,0,0,0
PLG0046,0,0,0,0,0,0
PLG0047,27393611,27393611,0,0,0,0
PLG0048,0,0,0,0,-952942,-952942
PLG0049,0,0,0,0,-981673,-981673
PLG0050,0,0,0,0,0,0
PLG0051,0,0,0,0,0,0
PLG0052,0,0,0,0,0,0
PLG0053,6824464,6824464,0,0,0,0
PLG0054,0,0,0,0,0,0
PLG0055,0,0,0,0,0,0
PLG0056,0,0,0,0,-377250,-377250
PLG0058,0,0,0,0,0,0
